date,manufacturer,car_model,car_year,sales
2018-06,Rolls-Royce,Ghost,2010,194
2020-03,Mazda,Mazdaspeed6,2006,88
2019-02,GMC,Yukon,2005,103
2020-08,Subaru,Outback,2000,66
2022-08,Mazda,CX-7,2012,158
2021-06,GMC,Yukon XL 2500,2000,147
2019-12,Buick,Rendezvous,2007,184
2022-05,Suzuki,Sidekick,1989,152
2018-07,Ford,Falcon,1966,101
2019-11,Dodge,Dakota,1992,156
2020-08,Toyota,RAV4,1999,119
2021-02,Ford,F-Series,1985,160
2021-05,Nissan,Armada,2010,176
2018-09,Hyundai,Sonata,2013,75
2020-08,Lincoln,Navigator,2002,163
2022-12,Chevrolet,Silverado 1500,2011,157
2020-11,Chevrolet,Express,2008,152
2022-10,Corbin,Sparrow,2004,159
2022-11,Mercedes-Benz,C-Class,2006,92
2018-03,Volkswagen,Passat,2001,31
2019-02,Ford,Fusion,2008,44
2018-09,Dodge,Dakota Club,1993,24
2020-05,Saab,9-5,2001,105
2022-04,Chevrolet,G-Series G20,1992,52
2018-02,Chevrolet,Express 1500,1998,148
2019-05,Volkswagen,Jetta III,1995,13
2018-09,Lexus,SC,2008,75
2022-01,Chrysler,Sebring,1999,168
2019-06,Audi,R8,2009,15
2021-03,Saab,9000,1986,19
2018-03,GMC,Safari,2004,87
2021-01,Ford,Mustang,1996,6
2019-11,Cadillac,CTS,2011,101
2020-07,Mitsubishi,Galant,1993,109
2021-02,Audi,A8,2005,143
2020-09,Honda,S2000,2005,47
2018-01,Ford,Econoline E350,1994,72
2021-09,Scion,xB,2004,15
2022-05,Pontiac,Firefly,1989,36
2018-04,Buick,LeSabre,1994,93
2019-09,Subaru,Forester,2003,151
2019-10,Honda,Fit,2012,184
2021-03,Mitsubishi,GTO,1999,117
2022-05,Honda,CR-V,2011,163
2020-07,Panoz,Esperante,2008,68
2019-08,Nissan,Altima,2003,63
2019-11,GMC,Envoy XL,2003,97
2021-03,Mercury,Capri,1984,104
2020-02,Chevrolet,S10 Blazer,1994,131
2021-09,Honda,CR-V,2012,3
2020-04,Subaru,Forester,2005,17
2018-06,Isuzu,Oasis,1999,77
2019-11,Lexus,RX Hybrid,2006,124
2018-06,Toyota,Sienna,2005,89
2018-01,Bentley,Continental GTC,2007,53
2019-05,Cadillac,Catera,2001,33
2021-07,GMC,Sierra 1500,2009,13
2022-08,Buick,Regal,1993,177
2021-03,Pontiac,Grand Prix,2000,99
2021-09,Ford,Aerostar,1995,116
2020-12,Alfa Romeo,Spider,1993,150
2021-02,Toyota,Tacoma,2008,33
2022-09,Subaru,Legacy,2008,74
2022-11,Maserati,Quattroporte,2006,159
2019-08,Volkswagen,Corrado,1994,142
2019-03,Nissan,Xterra,2005,194
2019-10,Buick,Century,1994,140
2019-01,Austin,Mini,1959,158
2022-07,Jeep,Compass,2010,77
2021-08,Dodge,Grand Caravan,1997,132
2018-04,Ford,Escort,1994,25
2020-03,Jaguar,XJ,2012,161
2018-02,Toyota,Sienna,2006,119
2018-08,BMW,M6,2008,9
2019-09,Mazda,Mazda6,2009,15
2018-03,Mazda,MX-5,2010,151
2019-10,GMC,3500 Club Coupe,1998,40
2018-08,BMW,7 Series,1999,55
2022-11,Dodge,Intrepid,1998,49
2018-01,Acura,NSX,2005,137
2019-04,Audi,90,1994,2
2020-02,Pontiac,Firebird,1998,164
2020-04,Lincoln,Town Car,2007,167
2019-01,Hummer,H3,2009,73
2020-08,Honda,Accord,2005,167
2019-06,Toyota,RAV4,2005,174
2021-03,Cadillac,Escalade,2000,189
2022-05,Maserati,Biturbo,1985,37
2022-12,Kia,Sportage,1995,42
2021-08,Lamborghini,Countach,1990,157
2019-10,GMC,Savana 2500,2010,20
2019-12,Chevrolet,Corsica,1995,4
2018-12,Ford,Five Hundred,2007,152
2018-06,Chevrolet,Avalanche 1500,2003,107
2022-09,GMC,Sierra 3500,2006,83
2021-11,Volkswagen,Tiguan,2009,141
2022-09,Ferrari,F430,2009,108
2018-11,GMC,Savana 2500,2010,2
2021-07,Mazda,MPV,2000,138
2019-04,Chrysler,Sebring,1995,12
2019-06,Ford,Edge,2012,86
2020-11,BMW,M,2000,69
2021-02,Plymouth,Acclaim,1995,71
2018-08,Suzuki,Grand Vitara,2010,61
2018-05,Buick,Hearse,1996,137
2019-04,BMW,X6,2011,52
2019-07,Chevrolet,Cavalier,2002,68
2020-09,Honda,CR-V,2010,79
2022-12,Nissan,Sentra,1993,123
2020-07,Honda,CR-V,2012,142
2021-10,Plymouth,Sundance,1993,154
2018-07,Dodge,Ram 3500 Club,1996,188
2022-11,BMW,Z3,2000,157
2022-01,Pontiac,Grand Prix,1998,151
2021-12,Land Rover,Defender 90,1994,80
2018-11,Nissan,350Z,2004,199
2019-06,Chevrolet,Suburban 1500,1998,128
2021-04,Chevrolet,1500,1992,194
2021-02,Ford,Mustang,1969,117
2021-08,Acura,TSX,2007,112
2018-09,Mitsubishi,RVR,1992,160
2018-12,Volvo,S60,2001,17
2018-10,Mercury,Sable,1990,44
2019-09,Volkswagen,Touareg,2011,120
2019-10,Infiniti,M,2011,113
2018-05,Toyota,Sienna,2005,163
2019-09,Mazda,929,1989,60
2020-11,GMC,3500,1992,56
2021-07,Land Rover,Discovery Series II,2001,140
2018-05,Volkswagen,Phaeton,2005,60
2019-04,Lexus,GX,2007,40
2020-01,Volkswagen,Touareg,2003,34
2021-08,Kia,Spectra,2002,56
2022-04,Toyota,Camry,2000,24
2018-04,Pontiac,Sunfire,1995,117
2021-06,Ford,E150,2011,43
2019-12,Dodge,Ram Van B150,1992,26
2018-06,Ford,E350,2009,74
2019-05,Pontiac,Torrent,2007,40
2018-01,Mercedes-Benz,S-Class,2010,19
2020-04,Land Rover,Defender,1992,40
2018-02,Mitsubishi,Galant,1986,178
2019-02,Geo,Tracker,1994,69
2019-07,Chevrolet,Silverado,2010,3
2020-07,Lincoln,Continental,1994,115
2018-04,Jaguar,XK,2008,4
2021-12,Volvo,V70,2001,20
2019-06,Volkswagen,GTI,2008,19
2021-10,Chevrolet,Corsica,1994,18
2022-07,Mazda,B-Series Plus,1995,72
2020-06,Pontiac,GTO,1968,84
2022-06,Chevrolet,Equinox,2007,148
2021-09,Austin,Mini Cooper,1961,39
2022-06,Volkswagen,Type 2,1986,26
2021-02,Mercury,Marquis,1984,83
2019-08,Hummer,H1,1993,97
2022-12,Kia,Sephia,1997,71
2022-04,GMC,Envoy XL,2004,25
2021-04,Aston Martin,Rapide,2010,13
2021-04,Chevrolet,Cobalt,2006,45
2022-03,Suzuki,Sidekick,1994,85
2021-09,Saab,9-3,2002,114
2019-02,Mercury,Villager,1995,95
2018-01,BMW,600,1957,30
2020-11,Mazda,929,1990,147
2021-07,Volkswagen,Tiguan,2011,168
2019-11,Aston Martin,DB9,2011,162
2020-07,Mitsubishi,Chariot,1988,97
2018-05,Mercedes-Benz,M-Class,2010,9
2019-05,Mercedes-Benz,CL-Class,2011,47
2019-09,Toyota,Avalon,2009,75
2020-03,Chevrolet,Suburban 2500,1997,183
2022-01,Lotus,Elise,2006,63
2021-01,Saab,9000,1997,72
2019-09,Pontiac,GTO,1964,36
2019-08,GMC,Sierra 3500,2009,170
2021-02,Audi,S4,2000,50
2018-03,Ford,Focus,2009,7
2020-09,GMC,Envoy XL,2004,19
2018-09,Ford,Taurus,1991,48
2022-06,Buick,LeSabre,2005,138
2019-06,Dodge,Ram 1500,2007,61
2019-05,Ford,Expedition,2009,174
2020-11,Mercedes-Benz,CL-Class,2000,16
2020-09,Ford,Thunderbird,1997,27
2022-02,Toyota,Supra,1996,143
2022-02,Volkswagen,Touareg,2011,131
2021-12,Mazda,323,1995,163
2019-04,Isuzu,Ascender,2004,43
2022-03,Cadillac,Seville,1999,69
2021-11,Mercury,Topaz,1984,91
2022-02,Hyundai,Scoupe,1992,33
2018-03,Chrysler,Town & Country,2002,184
2019-02,Volvo,V70,2010,15
2022-09,Mitsubishi,Pajero,2000,180
2022-02,GMC,Yukon,2001,113
2022-06,Chevrolet,2500,1999,35
2022-02,Nissan,Frontier,2010,100
2022-03,Dodge,Ram 1500,2000,114
2020-08,Kia,Soul,2011,139
2019-04,Dodge,Avenger,2010,156
2018-01,Mitsubishi,Galant,1985,161
2019-10,Ferrari,612 Scaglietti,2010,107
2018-08,Chrysler,Prowler,2001,80
2022-04,Subaru,XT,1990,107
2020-07,Mazda,B-Series,2006,79
2019-06,Dodge,Caravan,2004,200
2021-05,Nissan,Xterra,2007,122
2019-07,Ford,Bronco,1996,46
2018-05,BMW,5 Series,1994,54
2021-04,Land Rover,Range Rover Classic,1993,75
2021-01,Acura,Legend,1987,104
2022-10,Isuzu,Rodeo,2004,12
2019-01,Ferrari,458 Italia,2011,46
2021-09,Pontiac,Montana,1999,163
2018-10,Audi,A4,2004,88
2022-12,BMW,5 Series,1992,179
2022-12,Audi,V8,1994,144
2020-12,GMC,Suburban 2500,1996,128
2018-11,Volkswagen,GTI,1999,99
2020-12,Land Rover,Range Rover,2009,158
2018-10,Mazda,B-Series,1986,10
2020-10,Subaru,Legacy,2012,29
2020-09,Plymouth,Grand Voyager,1993,36
2022-07,GMC,2500,1998,47
2019-02,Kia,Rio,2007,183
2018-09,Pontiac,Safari,1988,100
2018-10,Toyota,Camry Hybrid,2012,179
2022-08,Mitsubishi,Lancer Evolution,2008,112
2019-04,Lincoln,Town Car,1989,7
2020-09,Ford,Mustang,1979,22
2021-09,Chrysler,LHS,2000,108
2019-11,Hyundai,Sonata,1995,121
2019-05,Ford,Taurus,1990,44
2018-01,Ford,Crown Victoria,2000,104
2018-05,Ford,Econoline E150,1996,198
2021-07,Mercury,Mariner,2005,151
2019-11,GMC,3500,1996,8
2022-06,Mitsubishi,Endeavor,2004,18
2018-06,Mercedes-Benz,M-Class,1998,161
2022-07,Volkswagen,Golf,1990,35
2019-06,Acura,NSX,1992,13
2022-03,Dodge,Ram 2500 Club,1995,16
2018-11,Volkswagen,New Beetle,2012,94
2021-07,Toyota,Previa,1992,108
2018-07,Mitsubishi,Truck,1988,155
2018-03,Mazda,626,1999,175
2019-07,Ford,Taurus,1999,124
2022-02,Dodge,Ram 2500,2002,4
2021-11,Volvo,940,1995,6
2021-02,Audi,V8,1992,59
2019-12,Audi,V8,1994,165
2020-09,Volvo,C70,2002,129
2018-01,Chevrolet,Camaro,1977,15
2022-07,Cadillac,Escalade,1999,93
2019-01,Acura,NSX,2000,63
2021-12,GMC,Sierra 2500,2010,158
2021-04,Lincoln,Town Car,2002,49
2018-04,Pontiac,LeMans,1988,112
2019-08,Ford,Econoline E350,1996,145
2018-12,Honda,Civic,2006,139
2018-09,Mitsubishi,Chariot,1987,83
2020-07,GMC,Suburban 1500,1996,169
2022-06,Ford,Taurus X,2008,105
2020-02,GMC,Yukon,1995,16
2019-08,Jeep,Liberty,2011,49
2019-01,Chevrolet,Silverado 3500,2006,71
2019-09,Dodge,Ram 1500 Club,2000,89
2020-03,Lamborghini,Countach,1985,27
2018-06,Cadillac,Escalade,2006,48
2021-06,Volvo,740,1992,129
2019-07,Buick,LeSabre,1998,49
2021-02,Volvo,S80,2006,39
2021-09,Ford,F150,1995,58
2021-12,BMW,3 Series,2009,57
2018-07,Subaru,Impreza WRX,2010,46
2018-07,Chevrolet,HHR,2007,170
2019-01,Bentley,Continental GTC,2011,94
2021-12,Jeep,Commander,2010,2
2019-10,Chrysler,Sebring,1997,32
2018-11,Jeep,Wrangler,2003,97
2019-07,Ford,F250,2009,133
2018-05,Chevrolet,Silverado 2500,1999,86
2021-10,Mercury,Mountaineer,1997,182
2022-01,Audi,A6,2002,169
2020-07,Pontiac,Grand Prix,1962,5
2021-02,Jaguar,XJ Series,1995,156
2021-03,Mitsubishi,Tredia,1988,106
2020-08,Chrysler,PT Cruiser,2008,98
2019-09,Ford,Focus,2000,31
2020-03,Kia,Sportage,2009,56
2018-04,GMC,Savana,2012,185
2022-02,Hyundai,Accent,2009,23
2022-09,Volvo,S70,2000,43
2021-10,GMC,Terrain,2012,97
2020-09,Suzuki,Esteem,2001,60
2020-11,Hyundai,Sonata,1992,107
2022-08,Cadillac,XLR-V,2006,168
2022-09,Kia,Optima,2011,168
2022-08,Lincoln,Navigator,1998,9
2022-04,Chevrolet,Cavalier,1998,164
2021-08,Ford,Mustang,2009,77
2020-08,BMW,Z3,1998,87
2019-12,Acura,CL,2001,108
2020-03,Lincoln,Continental,1990,121
2019-08,Dodge,Caravan,1992,2
2018-05,Jeep,Grand Cherokee,2006,136
2019-03,Toyota,Sequoia,2002,35
2018-01,Chevrolet,Caprice,1983,149
2020-03,Nissan,Sentra,2002,116
2020-07,Dodge,Ram Van 3500,1998,169
2018-01,Chevrolet,Express 2500,1996,140
2020-10,Chrysler,Town & Country,2009,48
2019-01,Toyota,Camry,2007,138
2022-03,Land Rover,Discovery,2002,79
2022-05,Chevrolet,Suburban 2500,1998,161
2020-10,Hyundai,Sonata,2001,155
2018-05,Suzuki,Sidekick,1992,138
2021-03,Mercury,Sable,2004,6
2018-12,Buick,Regal,2011,98
2018-10,Chevrolet,Avalanche 1500,2002,24
2022-04,Mitsubishi,Mighty Max,1993,111
2021-12,Geo,Prizm,1994,71
2020-07,GMC,Sierra 3500HD,2006,45
2018-08,Mazda,Miata MX-5,2010,10
2022-08,Mazda,Protege5,2003,184
2019-06,Honda,S2000,2005,26
2022-08,Lincoln,LS,2001,108
2021-02,Mercury,Mariner,2005,191
2022-01,Audi,A5,2009,146
2020-11,Ford,F-Series,2011,71
2021-03,Mazda,MX-5,1995,190
2022-03,Nissan,Frontier,2002,159
2019-04,Mercury,Grand Marquis,2002,114
2021-05,Lexus,ES,1997,102
2020-11,Hummer,H3,2007,10
2021-09,Cadillac,STS-V,2008,9
2021-03,Mercury,Mountaineer,2007,91
2018-02,Oldsmobile,Bravada,2002,199
2021-05,Chevrolet,Astro,1997,59
2020-08,Ford,E-Series,1985,165
2020-04,Isuzu,VehiCROSS,2000,44
2019-05,Audi,S6,2003,56
2019-07,Buick,LeSabre,1998,87
2018-05,Dodge,Ram,2008,143
2020-12,Land Rover,LR2,2009,161
2019-05,Buick,Reatta,1989,139
2020-05,Maybach,57S,2005,38
2020-02,Toyota,Prius,2012,55
2020-12,Mitsubishi,Challenger,2000,31
2022-10,Toyota,Avalon,2010,97
2022-07,Toyota,Paseo,1992,119
2018-11,Lincoln,LS,2004,24
2022-02,Pontiac,1000,1986,128
2021-09,Mazda,MX-5,2011,71
2018-08,Ford,Econoline E350,1997,174
2019-01,Ford,Ranger,1984,127
2020-01,Maybach,57,2009,142
2020-08,Chevrolet,Corvette,1956,64
2020-07,Daewoo,Lanos,2002,11
2021-05,Dodge,Stealth,1994,168
2019-11,Dodge,Intrepid,2004,179
2021-12,Rolls-Royce,Ghost,2012,105
2020-05,BMW,330,2005,116
2022-08,Mazda,626,1984,5
2018-12,Scion,xB,2006,143
2019-10,MINI,Cooper Clubman,2009,105
2022-09,Audi,TT,2008,34
2020-05,GMC,1500,1995,111
2021-07,GMC,Sonoma,1997,36
2022-09,Ford,Aspire,1994,25
2018-02,GMC,Yukon,1997,68
2022-05,Mitsubishi,GTO,1997,158
2020-08,Buick,Park Avenue,1994,45
2020-08,Mitsubishi,Eclipse,2008,132
2018-07,Volvo,XC90,2005,132
2018-03,Jeep,Comanche,1992,178
2021-01,Ford,F150,2006,166
2021-05,Ferrari,458 Italia,2012,45
2020-07,Toyota,RAV4,2009,73
2020-10,Lotus,Elan,1994,84
2022-03,Austin,Mini Cooper,1964,118
2019-08,Ford,Escort,1996,19
2022-02,Mitsubishi,3000GT,1997,140
2021-08,Toyota,Land Cruiser,2001,7
2021-01,Jaguar,XJ,2006,21
2022-11,Chrysler,Cirrus,1999,30
2021-09,Ford,Laser,1985,129
2022-12,Porsche,944,1987,10
2018-03,Chevrolet,Cavalier,1997,38
2020-04,Pontiac,Daewoo Kalos,2005,177
2021-05,Honda,S2000,2000,3
2018-02,Nissan,Pathfinder,2011,64
2022-07,Aston Martin,V8 Vantage,2009,49
2018-03,Kia,Amanti,2007,145
2020-02,Ford,Focus,2010,14
2021-01,Volvo,V40,2002,132
2019-01,Mazda,626,1990,17
2022-07,Volvo,940,1992,25
2019-02,Lincoln,LS,2004,102
2022-07,Chevrolet,Silverado 3500,2003,159
2022-08,GMC,Terrain,2010,186
2022-01,Ford,Aerostar,1988,51
2020-09,Mazda,B-Series Plus,2003,32
2022-09,BMW,3 Series,2007,60
2021-08,Mercedes-Benz,C-Class,2005,145
2021-05,Mercury,Grand Marquis,1989,37
2021-06,Mercury,Tracer,1991,187
2020-03,Mercury,Grand Marquis,2002,133
2022-03,Dodge,Shadow,1994,93
2022-03,Dodge,Stealth,1996,149
2020-07,Dodge,Caravan,1996,90
2019-12,Lincoln,MKZ,2007,59
2018-10,Chevrolet,Corvette,1962,154
2021-08,Citroën,SM,1972,65
2019-10,Acura,NSX,1997,32
2020-02,Buick,LeSabre,1997,190
2019-11,Chevrolet,Suburban 2500,2001,66
2018-12,Mercury,Capri,1994,42
2018-04,Plymouth,Sundance,1992,129
2018-07,Ford,Five Hundred,2005,63
2018-06,Mercury,Grand Marquis,1990,137
2022-03,GMC,Yukon,1994,27
2022-10,Dodge,Dakota Club,1995,9
2021-08,Toyota,RAV4,2012,169
2020-11,Chevrolet,Silverado 2500,2001,73
2020-11,Ford,Mustang,1988,171
2021-06,Pontiac,Sunbird,1992,144
2020-04,Mazda,Miata MX-5,2001,143
2022-12,Porsche,Boxster,1997,40
2021-09,Lexus,GS,1993,77
2019-02,Ford,Econoline E250,2002,34
2019-12,Porsche,911,1993,193
2021-01,Toyota,Venza,2013,110
2022-04,Dodge,Ram 1500,2004,190
2018-04,Chevrolet,Suburban 2500,2011,151
2018-06,Toyota,Solara,2001,34
2019-06,Aston Martin,V8 Vantage,2006,10
2022-12,Ford,Model T,1909,158
2022-06,Audi,TT,2005,117
2018-02,Subaru,Legacy,2002,195
2022-03,Volkswagen,Golf,2000,89
2019-03,Mercedes-Benz,CL-Class,2008,92
2019-11,Chevrolet,Express 3500,2004,57
2019-01,Land Rover,LR2,2011,100
2020-09,Ford,Aerostar,1993,58
2019-09,Isuzu,Rodeo,2001,68
2022-05,Lexus,LX,2006,148
2020-11,Mazda,MX-5,2005,77
2020-10,Volkswagen,Fox,1989,11
2021-03,Mazda,323,1995,133
2021-03,Suzuki,Grand Vitara,2011,114
2022-04,Toyota,Sequoia,2010,91
2020-09,Honda,CR-V,2011,125
2021-11,Toyota,TundraMax,2007,7
2022-10,Ford,Taurus,1990,87
2022-06,Volkswagen,Scirocco,1987,24
2020-01,Ford,Excursion,2000,189
2020-02,Toyota,Avalon,2006,115
2022-08,GMC,3500 Club Coupe,1994,113
2018-03,GMC,Suburban 2500,1993,128
2020-02,Chrysler,New Yorker,1996,153
2019-12,BMW,M5,2002,159
2018-09,Lexus,LX,1997,123
2019-09,Mercury,Capri,1986,194
2020-07,Mercury,Mountaineer,2003,103
2021-07,Eagle,Summit,1993,196
2018-07,Maserati,Quattroporte,2006,141
2022-10,Dodge,Ram 3500,2005,30
2021-01,Kia,Sephia,1997,17
2019-02,Chrysler,Town & Country,1997,17
2021-05,Honda,Civic,1999,148
2022-10,Jeep,Comanche,1992,52
2019-09,Toyota,Avalon,2010,50
2022-04,Volvo,S40,2000,74
2018-03,Mitsubishi,Diamante,2000,26
2019-09,Ford,Excursion,2002,135
2022-03,Mazda,929,1990,187
2018-04,Chevrolet,Venture,2005,185
2021-04,Audi,S8,2003,16
2019-10,Dodge,Dakota Club,1995,105
2021-03,Rolls-Royce,Phantom,2006,47
2018-03,Audi,100,1992,146
2018-03,Ford,E250,2010,36
2020-07,GMC,Sonoma,1996,87
2021-08,Chevrolet,Monza,1975,48
2022-02,Chevrolet,Sportvan G10,1992,146
2019-12,BMW,6 Series,2008,9
2021-03,Land Rover,Defender 110,1993,31
2021-02,BMW,7 Series,1994,71
2021-03,Volvo,S80,2002,83
2019-10,Chevrolet,Cobalt,2009,168
2021-03,Ford,LTD Crown Victoria,1991,104
2018-06,Mazda,MX-5,1998,177
2021-03,Dodge,Ram Van B150,1992,174
2018-06,Ford,Freestar,2003,170
2020-11,Mercedes-Benz,M-Class,2011,184
2021-11,Chevrolet,Silverado 1500,2011,138
2021-08,Chevrolet,Prizm,2002,177
2021-11,Audi,5000CS,1987,56
